id,account_id,debit,credit,entry_type,created_at,updated_at,journal_id,journal_type,sub_journal_id,sub_journal_type,reversal_id,occurred_on,account_exists
365,7,,2700,payment,2015-12-26 20:00:45.163084,2015-12-26 20:00:45.163084,12,Payment,,,,2015-11-20,TRUE
366,4,2700,,receipt,2015-12-26 20:00:45.184597,2015-12-26 20:00:45.184597,12,Payment,,,,2015-11-20,TRUE
369,6,,300,payment,2015-12-26 20:02:37.227458,2015-12-26 20:02:37.227458,13,Payment,,,,2015-12-01,TRUE
370,3,300,,receipt,2015-12-26 20:02:37.229986,2015-12-26 20:02:37.229986,13,Payment,,,,2015-12-01,TRUE
371,11,,300,payment,2015-12-26 20:03:29.788813,2015-12-26 20:03:29.788813,14,Payment,,,,2015-12-01,TRUE
372,3,300,,receipt,2015-12-26 20:03:29.79119,2015-12-26 20:03:29.79119,14,Payment,,,,2015-12-01,TRUE
373,4,2700,,reversal,2015-12-26 20:03:38.455127,2015-12-26 20:03:38.455127,12,Payment,23,Allocation,367,,TRUE
367,4,,2700,distribution,2015-12-26 20:00:45.225977,2015-12-26 20:03:38.461268,12,Payment,23,Allocation,373,,TRUE
374,7,,2700,reversal,2015-12-26 20:03:38.4676,2015-12-26 20:03:38.4676,12,Payment,23,Allocation,368,,TRUE
368,7,2700,,allocation,2015-12-26 20:00:45.233495,2015-12-26 20:03:38.473769,12,Payment,23,Allocation,374,,TRUE
391,4,337.5,,reversal,2015-12-26 20:04:23.521698,2015-12-26 20:04:23.521698,12,Payment,23,Allocation,375,,TRUE
375,4,,337.5,distribution,2015-12-26 20:03:38.479056,2015-12-26 20:04:23.527281,12,Payment,23,Allocation,391,,TRUE
392,7,,337.5,reversal,2015-12-26 20:04:23.532944,2015-12-26 20:04:23.532944,12,Payment,23,Allocation,376,,TRUE
376,7,337.5,,allocation,2015-12-26 20:03:38.484408,2015-12-26 20:04:23.538242,12,Payment,23,Allocation,392,,TRUE
393,4,337.5,,reversal,2015-12-26 20:04:23.543685,2015-12-26 20:04:23.543685,12,Payment,24,Allocation,377,,TRUE
377,4,,337.5,distribution,2015-12-26 20:03:38.48984,2015-12-26 20:04:23.548935,12,Payment,24,Allocation,393,,TRUE
394,3,,337.5,reversal,2015-12-26 20:04:23.55456,2015-12-26 20:04:23.55456,12,Payment,24,Allocation,378,,TRUE
378,3,337.5,,allocation,2015-12-26 20:03:38.495817,2015-12-26 20:04:23.559755,12,Payment,24,Allocation,394,,TRUE
395,4,337.5,,reversal,2015-12-26 20:04:23.565374,2015-12-26 20:04:23.565374,12,Payment,25,Allocation,379,,TRUE
379,4,,337.5,distribution,2015-12-26 20:03:38.502217,2015-12-26 20:04:23.57043,12,Payment,25,Allocation,395,,TRUE
396,10,,337.5,reversal,2015-12-26 20:04:23.575873,2015-12-26 20:04:23.575873,12,Payment,25,Allocation,380,,TRUE
380,10,337.5,,allocation,2015-12-26 20:03:38.508566,2015-12-26 20:04:23.581696,12,Payment,25,Allocation,396,,TRUE
397,4,337.5,,reversal,2015-12-26 20:04:23.587792,2015-12-26 20:04:23.587792,12,Payment,26,Allocation,381,,TRUE
381,4,,337.5,distribution,2015-12-26 20:03:38.514966,2015-12-26 20:04:23.593415,12,Payment,26,Allocation,397,,TRUE
398,9,,337.5,reversal,2015-12-26 20:04:23.600269,2015-12-26 20:04:23.600269,12,Payment,26,Allocation,382,,TRUE
382,9,337.5,,allocation,2015-12-26 20:03:38.521505,2015-12-26 20:04:23.606786,12,Payment,26,Allocation,398,,TRUE
399,4,337.5,,reversal,2015-12-26 20:04:23.613096,2015-12-26 20:04:23.613096,12,Payment,27,Allocation,383,,TRUE
383,4,,337.5,distribution,2015-12-26 20:03:38.527928,2015-12-26 20:04:23.619192,12,Payment,27,Allocation,399,,TRUE
400,8,,337.5,reversal,2015-12-26 20:04:23.624867,2015-12-26 20:04:23.624867,12,Payment,27,Allocation,384,,TRUE
384,8,337.5,,allocation,2015-12-26 20:03:38.534377,2015-12-26 20:04:23.630277,12,Payment,27,Allocation,400,,TRUE
401,4,337.5,,reversal,2015-12-26 20:04:23.635764,2015-12-26 20:04:23.635764,12,Payment,28,Allocation,385,,TRUE
385,4,,337.5,distribution,2015-12-26 20:03:38.540466,2015-12-26 20:04:23.641106,12,Payment,28,Allocation,401,,TRUE
